Дата	Характерный день	Торговый час	Характерный час	График ППП, МВтч	"Объем Торгового графика (скорректированное плановое почасовое потребление) МВт*час"	Объем покупки МВт*час	В т.ч. потери, отнесенные к объему покупки	Фактическое собственное потребление, МВтч	Покупка (+) / Продажа (-) на БР (BR+/-), МВтч	Объем покупки на БР (BR+), МВтч	Объем продажи на БР (BR-), МВтч
01.01.2015	выходной	0	минимум	0,45	0,45	0,463	0,013	0,362	-0,088	0	0,088
01.01.2015	выходной	1	минимум	0,45	0,45	0,463	0,013	0,355	-0,095	0	0,095
01.01.2015	выходной	2	минимум	0,45	0,45	0,463	0,013	0,355	-0,095	0	0,095
01.01.2015	выходной	3	минимум	0,45	0,45	0,463	0,013	0,355	-0,095	0	0,095
01.01.2015	выходной	4	минимум	0,45	0,45	0,463	0,013	0,364	-0,086	0	0,086
01.01.2015	выходной	5	минимум	0,45	0,45	0,464	0,014	0,354	-0,096	0	0,096
01.01.2015	выходной	6	минимум	0,45	0,45	0,464	0,014	0,359	-0,091	0	0,091
01.01.2015	выходной	7	минимум	0,45	0,45	0,465	0,015	0,349	-0,101	0	0,101
01.01.2015	выходной	8	минимум	0,45	0,45	0,464	0,014	0,345	-0,105	0	0,105
01.01.2015	выходной	9	минимум	0,45	0,45	0,465	0,015	0,344	-0,106	0	0,106
01.01.2015	выходной	10	минимум	0,45	0,45	0,464	0,014	0,342	-0,108	0	0,108
01.01.2015	выходной	11	полупик	0,45	0,45	0,463	0,013	0,352	-0,098	0	0,098
01.01.2015	выходной	12	полупик	0,45	0,45	0,463	0,013	0,343	-0,107	0	0,107
01.01.2015	выходной	13	полупик	0,45	0,45	0,463	0,013	0,346	-0,104	0	0,104
01.01.2015	выходной	14	полупик	0,45	0,45	0,463	0,013	0,351	-0,099	0	0,099
01.01.2015	выходной	15	полупик	0,45	0,45	0,463	0,013	0,362	-0,088	0	0,088
01.01.2015	выходной	16	полупик	0,45	0,45	0,463	0,013	0,357	-0,093	0	0,093
01.01.2015	выходной	17	полупик	0,45	0,45	0,463	0,013	0,353	-0,097	0	0,097
01.01.2015	выходной	18	полупик	0,45	0,45	0,462	0,012	0,356	-0,094	0	0,094
01.01.2015	выходной	19	полупик	0,45	0,45	0,462	0,012	0,36	-0,09	0	0,09
01.01.2015	выходной	20	полупик	0,45	0,45	0,463	0,013	0,358	-0,092	0	0,092
01.01.2015	выходной	21	полупик	0,45	0,45	0,463	0,013	0,358	-0,092	0	0,092
01.01.2015	выходной	22	полупик	0,45	0,45	0,463	0,013	0,361	-0,089	0	0,089
01.01.2015	выходной	23	минимум	0,45	0,45	0,463	0,013	0,355	-0,095	0	0,095
02.01.2015	выходной	0	минимум	0,45	0,45	0,463	0,013	0,352	-0,098	0	0,098
02.01.2015	выходной	1	минимум	0,45	0,45	0,463	0,013	0,36	-0,091	0,00	 0,09    
02.01.2015	выходной	2	минимум	0,45	0,45	0,464	0,014	0,35	-0,096	0,00	 0,10    
02.01.2015	выходной	3	минимум	0,45	0,45	0,465	0,015	0,35	-0,098	0,00	 0,10    
02.01.2015	выходной	4	минимум	0,45	0,45	0,465	0,015	0,35	-0,096	0,00	 0,10    
02.01.2015	выходной	5	минимум	0,45	0,45	0,465	0,015	0,36	-0,091	0,00	 0,09    
02.01.2015	выходной	6	минимум	0,45	0,45	0,465	0,015	0,35	-0,097	0,00	 0,10    
02.01.2015	выходной	7	минимум	0,45	0,45	0,465	0,015	0,34	-0,108	0,00	 0,11    
02.01.2015	выходной	8	минимум	0,45	0,45	0,464	0,014	0,34	-0,113	0,00	 0,11    
02.01.2015	выходной	9	минимум	0,45	0,45	0,463	0,013	0,33	-0,116	0,00	 0,12    
02.01.2015	выходной	10	минимум	0,45	0,45	0,463	0,013	0,34	-0,114	0,00	 0,11    
02.01.2015	выходной	11	полупик	0,45	0,45	0,463	0,013	0,34	-0,109	0,00	 0,11    
02.01.2015	выходной	12	полупик	0,45	0,45	0,463	0,013	0,33	-0,119	0,00	 0,12    
02.01.2015	выходной	13	полупик	0,45	0,45	0,463	0,013	0,34	-0,109	0,00	 0,11    
02.01.2015	выходной	14	полупик	0,45	0,45	0,463	0,013	0,36	-0,09	0,00	 0,09    
02.01.2015	выходной	15	полупик	0,45	0,45	0,463	0,013	0,37	-0,079	0,00	 0,08    
02.01.2015	выходной	16	полупик	0,45	0,45	0,463	0,013	0,37	-0,081	0,00	 0,08    
02.01.2015	выходной	17	полупик	0,45	0,45	0,462	0,012	0,37	-0,083	0,00	 0,08    
02.01.2015	выходной	18	полупик	0,45	0,45	0,462	0,012	0,37	-0,079	0,00	 0,08    
02.01.2015	выходной	19	полупик	0,45	0,45	0,463	0,013	0,37	-0,083	0,00	 0,08    
02.01.2015	выходной	20	полупик	0,45	0,45	0,463	0,013	0,37	-0,083	0,00	 0,08    
02.01.2015	выходной	21	полупик	0,45	0,45	0,463	0,013	0,36	-0,087	0,00	 0,09    
02.01.2015	выходной	22	полупик	0,45	0,45	0,463	0,013	0,37	-0,084	0,00	 0,08    
02.01.2015	выходной	23	минимум	0,45	0,45	0,463	0,013	0,37	-0,082	0,00	 0,08    
03.01.2015	выходной	0	минимум	0,45	0,45	0,463	0,013	0,36	-0,09	0,00	 0,09    
03.01.2015	выходной	1	минимум	0,45	0,45	0,463	0,013	0,37	-0,081	0,00	 0,08    
03.01.2015	выходной	2	минимум	0,45	0,45	0,464	0,014	0,36	-0,089	0,00	 0,09    
03.01.2015	выходной	3	минимум	0,45	0,45	0,464	0,014	0,36	-0,09	0,00	 0,09    
03.01.2015	выходной	4	минимум	0,45	0,45	0,464	0,014	0,36	-0,087	0,00	 0,09    
03.01.2015	выходной	5	минимум	0,45	0,45	0,464	0,014	0,37	-0,082	0,00	 0,08    
03.01.2015	выходной	6	минимум	0,45	0,45	0,464	0,014	0,36	-0,086	0,00	 0,09    
03.01.2015	выходной	7	минимум	0,45	0,45	0,464	0,014	0,35	-0,098	0,00	 0,10    
03.01.2015	выходной	8	минимум	0,45	0,45	0,463	0,013	0,36	-0,095	0,00	 0,10    
03.01.2015	выходной	9	минимум	0,45	0,45	0,463	0,013	0,36	-0,093	0,00	 0,09    
03.01.2015	выходной	10	минимум	0,45	0,45	0,463	0,013	0,35	-0,1	0,00	 0,10    
03.01.2015	выходной	11	полупик	0,45	0,45	0,463	0,013	0,35	-0,103	0,00	 0,10    
03.01.2015	выходной	12	полупик	0,45	0,45	0,463	0,013	0,35	-0,101	0,00	 0,10    
03.01.2015	выходной	13	полупик	0,45	0,45	0,463	0,013	0,35	-0,096	0,00	 0,10    
03.01.2015	выходной	14	полупик	0,45	0,45	0,463	0,013	0,35	-0,097	0,00	 0,10    
03.01.2015	выходной	15	полупик	0,45	0,45	0,463	0,013	0,36	-0,095	0,00	 0,10    
03.01.2015	выходной	16	полупик	0,45	0,45	0,463	0,013	0,36	-0,087	0,00	 0,09    
03.01.2015	выходной	17	полупик	0,45	0,45	0,463	0,013	0,35	-0,097	0,00	 0,10    
03.01.2015	выходной	18	полупик	0,45	0,45	0,462	0,012	0,35	-0,097	0,00	 0,10    
03.01.2015	выходной	19	полупик	0,45	0,45	0,463	0,013	0,35	-0,098	0,00	 0,10    
03.01.2015	выходной	20	полупик	0,45	0,45	0,463	0,013	0,36	-0,094	0,00	 0,09    
03.01.2015	выходной	21	полупик	0,45	0,45	0,463	0,013	0,35	-0,099	0,00	 0,10    
03.01.2015	выходной	22	полупик	0,45	0,45	0,463	0,013	0,35	-0,1	0,00	 0,10    
03.01.2015	выходной	23	минимум	0,45	0,45	0,463	0,013	0,35	-0,1	0,00	 0,10    
04.01.2015	выходной	0	минимум	0,45	0,45	0,464	0,014	0,36	-0,093	0,00	 0,09    
04.01.2015	выходной	1	минимум	0,45	0,45	0,464	0,014	0,35	-0,101	0,00	 0,10    
04.01.2015	выходной	2	минимум	0,45	0,45	0,464	0,014	0,35	-0,102	0,00	 0,10    
04.01.2015	выходной	3	минимум	0,45	0,45	0,465	0,015	0,35	-0,101	0,00	 0,10    
04.01.2015	выходной	4	минимум	0,45	0,45	0,465	0,015	0,35	-0,099	0,00	 0,10    
04.01.2015	выходной	5	минимум	0,45	0,45	0,465	0,015	0,35	-0,101	0,00	 0,10    
04.01.2015	выходной	6	минимум	0,45	0,45	0,465	0,015	0,35	-0,101	0,00	 0,10    
04.01.2015	выходной	7	минимум	0,45	0,45	0,465	0,015	0,36	-0,087	0,00	 0,09    
04.01.2015	выходной	8	минимум	0,45	0,45	0,464	0,014	0,30	-0,155	0,00	 0,16    
04.01.2015	выходной	9	минимум	0,45	0,45	0,463	0,013	0,36	-0,094	0,00	 0,09    
04.01.2015	выходной	10	минимум	0,45	0,45	0,463	0,013	0,35	-0,105	0,00	 0,11    
04.01.2015	выходной	11	полупик	0,45	0,45	0,463	0,013	0,35	-0,099	0,00	 0,10    
04.01.2015	выходной	12	полупик	0,45	0,45	0,463	0,013	0,35	-0,098	0,00	 0,10    
04.01.2015	выходной	13	полупик	0,45	0,45	0,463	0,013	0,34	-0,113	0,00	 0,11    
04.01.2015	выходной	14	полупик	0,45	0,45	0,463	0,013	0,33	-0,118	0,00	 0,12    
04.01.2015	выходной	15	полупик	0,45	0,45	0,463	0,013	0,34	-0,109	0,00	 0,11    
04.01.2015	выходной	16	полупик	0,45	0,45	0,463	0,013	0,33	-0,118	0,00	 0,12    
04.01.2015	выходной	17	полупик	0,45	0,45	0,463	0,013	0,33	-0,12	0,00	 0,12    
04.01.2015	выходной	18	полупик	0,45	0,45	0,463	0,013	0,34	-0,114	0,00	 0,11    
04.01.2015	выходной	19	полупик	0,45	0,45	0,463	0,013	0,33	-0,121	0,00	 0,12    
04.01.2015	выходной	20	полупик	0,45	0,45	0,463	0,013	0,33	-0,12	0,00	 0,12    
04.01.2015	выходной	21	полупик	0,45	0,45	0,463	0,013	0,33	-0,119	0,00	 0,12    
04.01.2015	выходной	22	полупик	0,45	0,45	0,463	0,013	0,33	-0,117	0,00	 0,12    
04.01.2015	выходной	23	минимум	0,45	0,45	0,463	0,013	0,33	-0,119	0,00	 0,12    
05.01.2015	выходной	0	минимум	0,4	0,4	0,412	0,012	0,33	-0,07	0,00	 0,07    
05.01.2015	выходной	1	минимум	0,4	0,4	0,412	0,012	0,34	-0,065	0,00	 0,07    
05.01.2015	выходной	2	минимум	0,4	0,4	0,412	0,012	0,33	-0,071	0,00	 0,07    
05.01.2015	выходной	3	минимум	0,4	0,4	0,413	0,013	0,34	-0,065	0,00	 0,07    
05.01.2015	выходной	4	минимум	0,4	0,4	0,413	0,013	0,34	-0,064	0,00	 0,06    
05.01.2015	выходной	5	минимум	0,4	0,4	0,413	0,013	0,35	-0,053	0,00	 0,05    
05.01.2015	выходной	6	минимум	0,4	0,4	0,413	0,013	0,42	0,023	0,02	 -      
05.01.2015	выходной	7	минимум	0,4	0,4	0,413	0,013	0,45	0,046	0,05	 -      
05.01.2015	выходной	8	минимум	0,4	0,4	0,412	0,012	0,44	0,035	0,04	 -      
05.01.2015	выходной	9	минимум	0,4	0,4	0,412	0,012	0,37	-0,028	0,00	 0,03    
05.01.2015	выходной	10	минимум	0,4	0,4	0,412	0,012	0,34	-0,057	0,00	 0,06    
05.01.2015	выходной	11	полупик	0,4	0,4	0,412	0,012	0,34	-0,058	0,00	 0,06    
05.01.2015	выходной	12	полупик	0,4	0,4	0,412	0,012	0,34	-0,061	0,00	 0,06    
05.01.2015	выходной	13	полупик	0,4	0,4	0,412	0,012	0,34	-0,064	0,00	 0,06    
05.01.2015	выходной	14	полупик	0,4	0,4	0,412	0,012	0,33	-0,07	0,00	 0,07    
05.01.2015	выходной	15	полупик	0,4	0,4	0,412	0,012	0,34	-0,065	0,00	 0,07    
05.01.2015	выходной	16	полупик	0,4	0,4	0,411	0,011	0,33	-0,066	0,00	 0,07    
05.01.2015	выходной	17	полупик	0,4	0,4	0,411	0,011	0,33	-0,066	0,00	 0,07    
05.01.2015	выходной	18	полупик	0,4	0,4	0,411	0,011	0,33	-0,067	0,00	 0,07    
05.01.2015	выходной	19	полупик	0,4	0,4	0,412	0,012	0,33	-0,066	0,00	 0,07    
05.01.2015	выходной	20	полупик	0,4	0,4	0,412	0,012	0,33	-0,068	0,00	 0,07    
05.01.2015	выходной	21	полупик	0,4	0,4	0,412	0,012	0,33	-0,066	0,00	 0,07    
05.01.2015	выходной	22	полупик	0,4	0,4	0,412	0,012	0,33	-0,067	0,00	 0,07    
05.01.2015	выходной	23	минимум	0,4	0,4	0,412	0,012	0,34	-0,065	0,00	 0,07    
06.01.2015	выходной	0	минимум	0,4	0,4	0,412	0,012	0,34	-0,065	0,00	 0,07    
06.01.2015	выходной	1	минимум	0,4	0,4	0,412	0,012	0,34	-0,062	0,00	 0,06    
06.01.2015	выходной	2	минимум	0,4	0,4	0,412	0,012	0,34	-0,063	0,00	 0,06    
06.01.2015	выходной	3	минимум	0,4	0,4	0,412	0,012	0,34	-0,061	0,00	 0,06    
06.01.2015	выходной	4	минимум	0,4	0,4	0,412	0,012	0,34	-0,064	0,00	 0,06    
06.01.2015	выходной	5	минимум	0,4	0,4	0,412	0,012	0,35	-0,046	0,00	 0,05    
