DateTime	product_1_plan	product_1_plan_cumsum	product_1_fact	product_1_fact_cumsum	product_2_status	product_2_plan	product_2_plan_cumsum	product_2_fact	product_2_fact_cumsum	product_2_accomplished	product_3_status	product_3_plan	product_3_plan_cumsum	product_3_fact	product_3_fact_cumsum	product_3_accomplished	product_4_status	product_4_plan	product_4_plan_cumsum	product_4_fact	product_4_fact_cumsum	product_4_accomplished
2015-09-01	*1500	1500	1317.735	1317.735		100	100	530.009	530.009	530.009		25	25	81.011	81.011	324.044		5	5	7.997	7.997	159.94
2015-09-02	800	2300	755.753	2073.488		950	1050	979.918	1509.9270000000001	143.80257142857144		25	50	28.002	109.01299999999999	218.02599999999995		5	10	5.6	13.597	135.97
2015-09-03	800	3100	729.503	2802.991		950	2000	1022.824	2532.751	126.63755		25	75	28.018	137.031	182.708	ТО			6.004	19.601	196.01
2015-09-04	800	3900	836.252	3639.243		950	2950	969.786	3502.5370000000003	118.73006779661017		25	100	33.785	170.816	170.816		5	15	8.008	27.608999999999998	184.05999999999997
2015-09-05	800	4700	707.373	4346.616		950	3900	948.31	4450.847	114.12428205128205		25	125	38.857	209.673	167.7384		5	20	5.596	33.205	166.025
2015-09-06	800	5500	917.865	5264.481		950	4850	1028.242	5479.089	112.97090721649485		25	150	9.986	219.659	146.4393333333333		5	25	5.632	38.836999999999996	155.34799999999998
2015-09-07	800	6300	655.914	5920.3949999999995		950	5800	666.87	6145.959	105.96481034482758		25	175	24.027	243.68599999999998	139.24914285714286		5	30	4.827	43.663999999999994	145.54666666666665
2015-09-08	800	7100	624.445	6544.839999999999	ТО			218.012	6363.971	109.72363793103447		25	200	29.159	272.84499999999997	136.42249999999999		5	35	2.01	45.67399999999999	130.49714285714285
2015-09-09	800	7900	772.839	7317.678999999999		900	6700	621.966	6985.937	104.26771641791044		25	225	35.852	308.69699999999995	137.19866666666664		5	40	7.234	52.907999999999994	132.26999999999998
2015-09-10	800	8700	783.485	8101.163999999999		950	7650	952.594	7938.531	103.77164705882353	ТО			33.478	342.17499999999995	152.07777777777775		5	45	11.64	64.548	143.44
2015-09-11	800	9500	859.052	8960.215999999999		950	8600	1042.512	8981.043	104.43073255813952		25	250	36.602	378.77699999999993	151.51079999999996		5	50	7.224	71.772	143.544
2015-09-12	700	10200	727.917	9688.132999999998		950	9550	919.09	9900.133	103.66631413612566		25	275	27.985	406.76199999999994	147.91345454545453		5	55	6.008	77.78	141.4181818181818
2015-09-13	700	10900	733.728	10421.860999999997		950	10500	988.564	10888.697	103.7018761904762		25	300	31.908	438.66999999999996	146.22333333333333		5	60	5.613	83.393	138.98833333333334
2015-09-14	800	11700	995.894	11417.754999999997		950	11450	958.978	11847.675	103.47314410480348		25	325	32.929	471.59899999999993	145.1073846153846		5	65	6.405	89.798	138.15076923076924
2015-09-15	800	12500	741.963	12159.717999999997	ТО			250.536	12098.211	105.66123144104802		25	350	34.008	505.6069999999999	144.45914285714284		5	70	4.423	94.221	134.60142857142858
2015-09-16	800	13300	769.354	12929.071999999996		900	12350	789.278	12887.489	104.35213765182185		25	375	26.003	531.6099999999999	141.76266666666663		5	75	5.218	99.43900000000001	132.58533333333332
2015-09-17	800	14100	836.981	13766.052999999996		950	13300	862.41	13749.899	103.38269924812029		25	400	18.177	549.7869999999999	137.44674999999998	ТО			7.198	106.637	142.18266666666665
2015-09-18	800	14900	759.029	14525.081999999997		950	14250	914.358	14664.257	102.90706666666667		25	425	37.502	587.2889999999999	138.1856470588235		5	80	4.812	111.449	139.31125
2015-09-19	700	15600	783.868	15308.949999999997		950	15200	1000.174	15664.431	103.05546710526316		25	450	31.244	618.5329999999999	137.45177777777775		5	85	5.226	116.675	137.26470588235293
2015-09-20	700	16300	973.183	16282.132999999998		950	16150	862.104	16526.535	102.33148606811145		25	475	10.032	628.5649999999999	132.3294736842105		5	90	6.04	122.715	136.35
2015-09-21	800	17100	709.295	16991.427999999996		950	17100	780.86	17307.395	101.21283625730995		25	500	0	628.5649999999999	125.71299999999998		5	95	6.033	128.748	135.52421052631578
2015-09-22	300	17400	147.237	17138.664999999997		500	17600	361.458	17668.853	100.39121022727274		25	525	15.007	643.5719999999999	122.58514285714284		5	100	4.845	133.593	133.593
